customer_id,first_name,last_name,email,phone,gender,city,state,signup_date,membership
CUST0001,Dev,Mehta,dev.mehta94@gmail.com,726032945,male,SURAT,Gujarat,24/01/2021,
CUST0002,Ananya,Gupta,ananya.gupta2@yahoo.com,,MALE,Ahmedabad,Gujarat,2020-12-06,Bronze
CUST0003,Siddharth,Sharma,siddharth.sharma90@yahoo.com,822513611,Male,Calcutta,W Bengal,23-09-2022,Silver
CUST0004,Sunita,Verma,sunita.verma21@gmail.com,,female,Mumbai,Maharastra,20/05/2020,Gold
CUST0005,Kunal,Mishra,kunal.mishra73@gmail.com,,M,Hyderabad,Telangana,05/10/2021,GOLD
CUST0006,Preeti,Gupta,preeti.gupta28@gmail.com,,male,MUMBAI,Maharashtra,20/05/2020,silver
CUST0007,Yash,Banerjee,yash.banerjee18@gmail.com,9849232839,F,Jaipur,RJ,2020-11-14,silver
CUST0008,Kavya,Chopra,kavya.chopra36@gmail.com,972423094,MALE,Chennai,Tamil Nadu,20-06-2021,Silver
CUST0009,Sneha,Gupta,,+91-71547-39678,Male,Bhopal,MP,16/01/2022,Platinum
CUST0010,Divya,Das,divya.das80@yahoo.com,940468139,MALE,Surat,GJ,2020-11-28,Bronze
CUST0011,Sunita,Verma,sunita.verma49@yahoo.com,7683749521,female,kolkata,WB,2022-07-31,Silver
CUST0012,Divya,,divya.joshi45@yahoo.com,+91-72981-59856,M,Calcutta,WB,2023-01-03,silver
CUST0013,Priya,Patel,priya.patel78@yahoo.com,834723382,Male,LUCKNOW,UP,24-01-2021,Platinum
CUST0014,Pooja,Iyer,pooja.iyer93@yahoo.com,9849227494,male,New Delhi,DL,2021-10-30,bronze
CUST0015,Divya,Bhatt,divya.bhatt39@gmail.com,,F,SURAT,gujarat,06/03/2021,
CUST0016,Dev,Khanna,dev.khanna37@gmail.com,9829742424,female,HYDERABAD,telangana,2021-04-26,Silver
CUST0017,Priya,,priya.das25@yahoo.com,,Female,Ahmedabad,Gujrat,29/10/2020,Platinum
CUST0018,Nisha,Pillai,nisha.pillai18@yahoo.com,752123122,FEMALE,Ahmedabad,gujarat,04-05-2023,bronze
CUST0019,Vivek,Shah,vivek.shah97@gmail.com,+91-89330-34905,FEMALE,ahmedabad,Gujrat,2022-12-03,silver
CUST0020,Ananya,Kumar,ananya.kumar30@gmail.com,75943-12071,MALE,PUNE,Maharashtra,2022-04-29,Platinum
CUST0021,Vivek,Iyer,vivek.iyer46@gmail.com,9048612358,female,Kolkata,W Bengal,08/05/2022,Platinum
CUST0022,Arjun,Iyer,arjun.iyer93@gmail.com,844366539,Male,Ahmedabad,Gujrat,2023-06-28,bronze
CUST0023,Karan,Malhotra,karan.malhotra28@gmail.com,+91-86282-38707,M,Bangalore,KA,2021-07-23,
CUST0024,Aarav,Shah,aarav.shah84gmail.com,9792347639,FEMALE,Bombay,maharashtra,11-02-2020,Gold
CUST0025,Tanvi,Joshi,tanvi.joshi78@yahoo.com,,Male,Ahemdabad,GJ,01/12/2020,bronze
CUST0026,Siddharth,Joshi,siddharth.joshi88@yahoo.com,+91-74376-62764,F,Delhi NCR,delhi,2020-03-25,GOLD
CUST0027,Aarav,Iyer,aarav.iyer91@gmail.com,855558577,,Ahmedabad,Gujrat,25/08/2023,
CUST0028,Lakshmi,Mishra,lakshmi.mishra58@gmail.com,+91-73722-14308,F,Madras,tamil nadu,2022-02-15,
CUST0029,Vikram,Agarwal,vikram.agarwal72@gmail.com,+91-95604-66250,FEMALE,Madras,TN,12-04-2022,
